id;channel_id;channel;judul;trending_date;tags;upload_date;views;likes;dislikes;comments;thubmnail_link;description
v7ebMtGXGxU;UC7-sh4gtS5oJkwqOyt8s3CQ;deHakims;SEMUA TERCEKAT MELIHAT KEPERGIAN GRANDONG.SAMPAI JUMPA LAGI YAA..DI AKHIRAT KELAK, AAMIIN..;21.24.07;"""Irfan Hakim|deHakims|sapi|grandong|setia farm|qurban sapi|sapi qurban|jual sapi|sapi qurban presiden|sapi limosin|sapi ngamuk|sapi raksasa|sapi jumbo|idul adha|idul qurban|berkuda dengan sapi|nunggang sapi|sapi limo|sapi besar|qurban|idul adha 2021|potong kambing|giveaway|grandong viral|grandong sapi viral|potong hewan qurban|trending|viral|sapi viral|sapi terbesar|big cow|cow""";2021-07-20T14:00:15Z;6381580;251312;4912;22827;https://i.ytimg.com/vi/v7ebMtGXGxU/default.jpg;-
3tmwbTeQWmk;UCm1blENZWzBGH3tIQcWcBkg;Music Interactive;Happy Asmara - Lemah Teles (Official Music Live) Kowe mbelok ngiwo nengen tanpo nguwasne mburi;21.24.07;"""musik|dangdut|koplo|mala aghata|dangdut jawa|musik koplo|musik dangdut|Music Interactive|maska musik|maska music|musik interactive|happy asmara|happy asmara full album|happy asmara lemah teles|happy asmara terbaru|happy asmara denny caknan|happy asmara satru|happy asmara terbaru 2021|happy asmara full album tanpa iklan|happy asmara cidro 2|happy asmara ldr|happy asmara official|happy asmara tak ikhlasno|happy asmara putus sama denny caknan""";2021-07-18T02:00:13Z;3227518;80033;1548;6126;https://i.ytimg.com/vi/3tmwbTeQWmk/default.jpg;-
2xhdt43QDCo;UCItF4xm77w4FsKWT1gSKKOA;Reza Darmawangsa;SING OFF TIKTOK SONGS PART V (Build A B*tch, Everything Sucks, Kiss Me More) vs Mirriam Eka;21.24.07;"""SING-OFF|Maria Eka|Reza Darmawangsa|Everything SUcks|Build A Bitch|Kiss Me More|Butter|Hot Sauce|PART V|TikTok|Cover|Duet|Medley|Mashup|Remix""";2021-07-18T03:00:14Z;6096285;425376;6941;17603;https://i.ytimg.com/vi/2xhdt43QDCo/default.jpg;-
H12SwqwR2NE;UCLkAepWjdylmXSltofFvsYQ;BANGTANTV;Dance your 💜 out to #PermissiontoDance 💃🕺 Only on YouTube #Shorts;21.24.07;"""[none]""";2021-07-23T13:00:01Z;16689826;1857222;14736;24151;https://i.ytimg.com/vi/H12SwqwR2NE/default.jpg;-
o_dH2_8-01E;UC1QpnGo11epfexw1bIiTHTg;Liputan 6 SCTV;Ratusan Pengemudi Ojol dan Mahasiswa Bandung Demo Tuntut Ganti Rugi Akibat PPKM Darurat | Liputan 6;21.24.07;"""sctv|liputan 6|liputan 6 sctv|sctv berita|news|berita|berita sctv|PPKM Darurat|bandung|demonstrasi|pemkot bandung""";2021-07-22T01:51:42Z;1009626;11036;467;7638;https://i.ytimg.com/vi/o_dH2_8-01E/default.jpg;-
KCBdyVeNLRw;UCo8h2TY_uBkAVUIc14m_KCA;Najwa Shihab;Bayar Denda PPKM Rp5 Juta, Duit dari Mana? - Harap Sabar Masih Darurat (Part 1) | Mata Najwa;21.24.07;"""najwa shihab|mata najwa|narasi|narasi entertainment|narasi newsroom|narasi talks|narasi stories|narasi people|talkshow|talk show|najwa|shihab|shihab & shihab|catatan najwa|jurnalis|ppkm|jokowi|denda ppkm""";2021-07-21T23:00:06Z;859288;11451;486;3699;https://i.ytimg.com/vi/KCBdyVeNLRw/default.jpg;-
CObsLqBBZPo;UCm1blENZWzBGH3tIQcWcBkg;Music Interactive;Happy Asmara - Haruskah Aku Mati(Official Music Live) Aku sekuat hati bertahan Kamu sebisanya;21.24.07;"""musik|dangdut|koplo|safira inema|mala aghata|dangdut jawa|musik koplo|musik dangdut|Music Interactive|maska musik|maska music|musik interactive|happy asmara|happy asmara full album|happy asmara lemah teles|happy asmara terbaru|happy asmara denny caknan|happy asmara satru|happy asmara terbaru 2021|happy asmara full album tanpa iklan|happy asmara cidro 2|happy asmara ldr|happy asmara official|happy asmara tak ikhlasno|drm|music|lagu|haruskah aku mati""";2021-07-23T02:00:13Z;384166;11197;197;1668;https://i.ytimg.com/vi/CObsLqBBZPo/default.jpg;-
pKh1YtDhKgE;UCovqoUzPm9_s6mMt9OiWKpA;Harian Kompas;Banjir Bandang Lumpuhkan China Tengah;21.24.07;"""[none]""";2021-07-22T12:33:15Z;418199;2757;176;2453;https://i.ytimg.com/vi/pKh1YtDhKgE/default.jpg;-
bdMyeJoeYKo;UClm79UMZVmwFv-PVFh6XBiA;Cinta;CINTA - PELAN PELAN KAU MENJAUH [Official Music Video];21.24.07;"""cinta kuya|social eksperimen|prank|beauty|make up|tutorial|fun|uya kuya|hypebest|nike|jordan|korea|traveling|blackpink|exo|bts|cover|Pelan pelan kau menjauh|PPKM|Official Music Video|Indonesia song|Lagu terbaru|Cinta|Nisha|Nia|Vanden""";2021-07-22T12:00:13Z;977333;64651;782;13134;https://i.ytimg.com/vi/bdMyeJoeYKo/default.jpg;-
x00rzFYet9Q;UC_m_NBgf7ieJBHzb6vvJC5A;Sekretariat Presiden;Pernyataan Presiden RI tentang Perkembangan Terkini PPKM Darurat, 20 Juli 2021;21.24.07;"""[none]""";2021-07-20T12:39:11Z;827793;14586;4743;6042;https://i.ytimg.com/vi/x00rzFYet9Q/default.jpg;-
dICm8QRaNoQ;UC7FE8E7nCP-sJO8o4FTo93Q;DC. PRODUCTION;DENNY CAKNAN Ft. ESA RISTY - SATRU - LIVE IN LAMONGAN (OFFICIAL LIVE MUSIC);21.24.07;"""DC Production|Denny Caknan|Esa Risty|Satru|Official Live Video|Music Of Indonesia|Full Album Denny Caknan|Music Jawa Hits|Denny Caknan Trending|Mas isoku meneng|ngajeni awakmu""";2021-07-21T14:00:11Z;453082;15662;431;4497;https://i.ytimg.com/vi/dICm8QRaNoQ/default.jpg;-
2j1WjFmtv3w;UCrEtZcG9h9lx9oqQhros_Dg;Seputar iNews;Sapi Kurban Seberat 1,4 Ton jadi Pusat Perhatian Warga di Jakarta Pusat #SIP 20/07;21.24.07;"""Seputar iNews|Berita Terkini|Breaking News|TV Berita|Berita Indonesia|Info Indonesia|Special Report|Live Streaming|Hotman Paris Show|CNN Indonesia|Kompas TV|TV One|Metro TV|Mata Najwa|ILC|Full""";2021-07-20T04:05:48Z;995998;5992;648;1491;https://i.ytimg.com/vi/2j1WjFmtv3w/default.jpg;-
JmxVIKtMFfk;UC4x-hPeNK61k61xgChcVGNA;New Pallapa Official;New Pallapa Official | Woro Widowati | Dudu Dolanan | Album Terkoplo 2021;21.24.07;"""new pallapa official|new pallapa official music video|woro widowati|woro widowati pallapa|new pallapa terbaru 2021|new pallapa terbaru|new pallapa|dudu dolanan|Album terkoplo 2021|woro widowati new pallapa full album|pragita prabawa pustaka|pragita hiza indonesia|tole cempe|pgdk new pallapa|pgdk pekalongan lucu|pgdk lucu|Novian Eko Ricartiko""";2021-07-23T02:00:27Z;206755;7334;88;2318;https://i.ytimg.com/vi/JmxVIKtMFfk/default.jpg;-
